Category,Reviews,Size,Type,Price,Content Rating,Genres,Install,Rating>4.2
ART_AND_DESIGN,159,19000000,Free,0,Everyone,Art & Design,10000,0
ART_AND_DESIGN,967,14000000,Free,0,Everyone,Art & Design;Pretend Play,500000,0
ART_AND_DESIGN,87510,8700000,Free,0,Everyone,Art & Design,5000000,1
ART_AND_DESIGN,215644,25000000,Free,0,Teen,Art & Design,50000000,1
ART_AND_DESIGN,967,2800000,Free,0,Everyone,Art & Design;Creativity,100000,1
ART_AND_DESIGN,167,5600000,Free,0,Everyone,Art & Design,50000,1
ART_AND_DESIGN,178,19000000,Free,0,Everyone,Art & Design,50000,0
ART_AND_DESIGN,36815,29000000,Free,0,Everyone,Art & Design,1000000,0
ART_AND_DESIGN,13791,33000000,Free,0,Everyone,Art & Design,1000000,1
ART_AND_DESIGN,121,3100000,Free,0,Everyone,Art & Design;Creativity,10000,1
ART_AND_DESIGN,13880,28000000,Free,0,Everyone,Art & Design,1000000,1
ART_AND_DESIGN,8788,12000000,Free,0,Everyone,Art & Design,1000000,1
ART_AND_DESIGN,44829,20000000,Free,0,Teen,Art & Design,10000000,0
ART_AND_DESIGN,4326,21000000,Free,0,Everyone,Art & Design,100000,1
ART_AND_DESIGN,1518,37000000,Free,0,Everyone,Art & Design,100000,1
ART_AND_DESIGN,55,2700000,Free,0,Everyone,Art & Design,5000,0
ART_AND_DESIGN,3632,5500000,Free,0,Everyone,Art & Design,500000,1
ART_AND_DESIGN,27,17000000,Free,0,Everyone,Art & Design,10000,1
ART_AND_DESIGN,194216,39000000,Free,0,Everyone,Art & Design,5000000,1
ART_AND_DESIGN,224399,31000000,Free,0,Everyone,Art & Design,10000000,1
ART_AND_DESIGN,450,14000000,Free,0,Everyone,Art & Design,100000,0
ART_AND_DESIGN,654,12000000,Free,0,Everyone,Art & Design,100000,0
ART_AND_DESIGN,7699,4200000,Free,0,Everyone 10+,Art & Design,500000,1
ART_AND_DESIGN,118,23000000,Free,0,Everyone,Art & Design,50000,1
ART_AND_DESIGN,192,6000000,Free,0,Everyone,Art & Design,10000,1
ART_AND_DESIGN,20260,25000000,Free,0,Everyone,Art & Design;Creativity,500000,1
ART_AND_DESIGN,203,6100000,Free,0,Everyone,Art & Design,100000,0
ART_AND_DESIGN,136,4600000,Free,0,Everyone,Art & Design,10000,0
ART_AND_DESIGN,223,4200000,Free,0,Everyone,Art & Design,100000,0
ART_AND_DESIGN,1120,9200000,Free,0,Everyone,Art & Design,100000,0
ART_AND_DESIGN,227,5200000,Free,0,Everyone,Art & Design,50000,0
ART_AND_DESIGN,5035,11000000,Free,0,Everyone,Art & Design,100000,1
ART_AND_DESIGN,1015,11000000,Free,0,Everyone,Art & Design,100000,0
ART_AND_DESIGN,353,4200000,Free,0,Teen,Art & Design,10000,1
ART_AND_DESIGN,564,9200000,Free,0,Everyone,Art & Design,100000,0
ART_AND_DESIGN,8145,24000000,Free,0,Everyone,Art & Design;Creativity,500000,1
ART_AND_DESIGN,36639,,Free,0,Everyone,Art & Design,5000000,0
ART_AND_DESIGN,158,11000000,Free,0,Everyone,Art & Design,10000,1
ART_AND_DESIGN,591,9400000,Free,0,Everyone,Art & Design,500000,0
ART_AND_DESIGN,117,15000000,Free,0,Everyone,Art & Design,10000,0
ART_AND_DESIGN,176,10000000,Free,0,Everyone,Art & Design,100000,1
ART_AND_DESIGN,295221,,Free,0,Everyone,Art & Design,10000000,1
ART_AND_DESIGN,2206,1200000,Free,0,Everyone,Art & Design;Creativity,100000,0
ART_AND_DESIGN,26,12000000,Free,0,Everyone,Art & Design,10000,0
ART_AND_DESIGN,174531,24000000,Free,0,Everyone,Art & Design,10000000,1
ART_AND_DESIGN,1070,26000000,Free,0,Everyone,Art & Design,100000,1
ART_AND_DESIGN,85,8000000,Free,0,Everyone,Art & Design,100000,0
ART_AND_DESIGN,845,7900000,Free,0,Everyone,Art & Design,100000,1
AUTO_AND_VEHICLES,367,25000000,Free,0,Everyone,Auto & Vehicles,100000,0
AUTO_AND_VEHICLES,1598,56000000,Free,0,Everyone,Auto & Vehicles,1000000,0
AUTO_AND_VEHICLES,284,57000000,Free,0,Everyone,Auto & Vehicles,100000,0
AUTO_AND_VEHICLES,17057,,Free,0,Everyone,Auto & Vehicles,1000000,1
AUTO_AND_VEHICLES,129,35000000,Free,0,Everyone,Auto & Vehicles,100000,0
AUTO_AND_VEHICLES,542,33000000,Free,0,Everyone,Auto & Vehicles,100000,1
AUTO_AND_VEHICLES,10479,33000000,Free,0,Everyone,Auto & Vehicles,100000,1
