a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,a13,a14,a15,a16,a17,a18,a19,a20,class
1,2,3,4,5,1,2,3,4,5,0.069867,0.92724,1.7594,1.7983,2.56,0.40532,0.72737,1.5442,1.5912,2.4554,1
1,2,3,4,5,1,2,3,4,5,0.079264,1.0868,1.9044,2.3969,3.8457,0.50005,1.0697,1.8613,2.515,3.4881,1
1,2,3,4,5,1,2,3,4,5,0.091385,0.55893,0.62757,0.67157,1.3119,0.41963,0.43405,0.48256,0.60219,1.1968,1
1,2,3,4,5,1,2,3,4,5,0.092284,0.44557,0.70797,0.97155,3.1189,0.31964,0.33794,0.53204,0.94074,3.1052,2
1,2,3,4,5,1,2,3,4,5,0.092548,0.41282,1.7167,2.2149,2.3647,0.35571,0.35712,1.4764,1.925,2.2123,2
1,2,3,4,5,1,2,3,4,5,0.095608,0.5918,0.65803,0.76511,3.1089,0.137,0.52651,0.75102,0.77285,3.1933,1
1,2,3,4,5,1,2,3,4,5,0.095719,0.45584,0.84106,1.1411,2.6458,0.15697,0.3464,0.76869,1.1238,2.5608,1
1,2,3,4,5,1,2,3,4,5,0.097358,0.39562,0.4078,0.9443,3.9804,0.55725,0.7009,0.70288,0.93733,3.959,1
1,2,3,4,5,1,2,3,4,5,0.10196,1.3395,2.4947,3.4432,5.5192,0.12962,1.312,2.4455,3.3509,5.4318,1
1,2,3,4,5,1,2,3,4,5,0.10546,0.20224,1.0164,1.5194,6.2099,0.29998,0.32053,1.0097,1.5003,6.1715,1
1,2,3,4,5,1,2,3,4,5,0.10667,0.85529,1.0595,1.4066,13.022,0.52455,1.1225,1.2099,1.2848,13.035,3
1,2,3,4,5,1,2,3,4,5,0.10785,0.80375,0.98742,1.1053,1.6887,0.62301,0.72828,0.96374,1.1822,1.4315,1
1,2,3,4,5,1,2,3,4,5,0.10821,0.49285,0.88847,1.2396,1.4442,0.13817,0.53885,0.88637,1.2373,1.4573,1
1,2,3,4,5,1,2,3,4,5,0.11349,0.49776,0.8272,0.89648,7.8002,0.14166,0.42293,0.79464,0.86597,7.738,2
1,2,3,4,5,1,2,3,4,5,0.11371,0.21191,0.22307,0.41821,5.5716,0.19085,0.25197,0.27744,0.44046,5.5669,1
1,2,3,4,5,1,2,3,4,5,0.11633,0.18607,0.2145,0.94008,2.0559,0.11802,0.1949,0.22102,0.97341,2.0614,3
1,2,3,4,5,1,2,3,4,5,0.11661,0.33633,0.57446,1.4184,2.6403,0.48239,0.49883,0.54565,1.3032,2.2447,2
1,2,3,4,5,1,2,3,4,5,0.11661,0.53596,1.0646,1.1773,1.2571,0.43438,0.66677,1.1058,1.1507,1.221,1
1,2,3,4,5,1,2,3,4,5,0.11676,0.36972,0.5216,0.97386,1.0428,0.12015,0.48704,0.53381,1.0208,1.0402,2
1,2,3,4,5,1,2,3,4,5,0.11805,0.16278,0.60201,0.80698,2.6256,0.53757,0.5894,0.61701,0.82961,2.6292,1
